dihard2019_xvectors_10_1, {"der": 9.03, "eer": 8.321, "dcf": 0.6826}, {"der": 15.38, "eer": 16.04, "dcf": 0.939}, {"der": 12.205, "eer": 12.180499999999999, "dcf": 0.8108}
dihard2019_xvectors_10_2, {"der": 7.16, "eer": 5.776, "dcf": 0.5745}, {"der": 8.44, "eer": 8.084, "dcf": 0.628}, {"der": 7.8, "eer": 6.93, "dcf": 0.6012500000000001}
dihard2019_xvectors_15_0, {"der": 7.12, "eer": 6.623, "dcf": 0.5727}, {"der": 7.89, "eer": 6.915, "dcf": 0.7108}, {"der": 7.505, "eer": 6.769, "dcf": 0.64175}
dihard2019_xvectors_15_1, {"der": 6.41, "eer": 4.987, "dcf": 0.531}, {"der": 6.28, "eer": 4.909, "dcf": 0.5941}, {"der": 6.345000000000001, "eer": 4.948, "dcf": 0.56255}
dihard2019_xvectors_15_2, {"der": 7.23, "eer": 5.877, "dcf": 0.6148}, {"der": 15.14, "eer": 14.52, "dcf": 0.9759}, {"der": 11.185, "eer": 10.1985, "dcf": 0.79535}
dihard2019_xvectors_20_0, {"der": 5.51, "eer": 4.341, "dcf": 0.4716}, {"der": 7.11, "eer": 6.674, "dcf": 0.6328}, {"der": 6.3100000000000005, "eer": 5.5075, "dcf": 0.5522}
dihard2019_xvectors_20_1, {"der": 7.43, "eer": 6.899, "dcf": 0.5968}, {"der": 5.76, "eer": 4.01, "dcf": 0.5379}, {"der": 6.595, "eer": 5.4544999999999995, "dcf": 0.56735}
dihard2019_xvectors_20_2, {"der": 5.88, "eer": 5.292, "dcf": 0.4701}, {"der": 14.53, "eer": 14.56, "dcf": 0.9759}, {"der": 10.205, "eer": 9.926, "dcf": 0.723}
dihard2019_ivectors_5_0, {"der": 6.41, "eer": 5.357, "dcf": 0.5887}, {"der": 5.67, "eer": 4.007, "dcf": 0.5375}, {"der": 6.04, "eer": 4.682, "dcf": 0.5630999999999999}
dihard2019_ivectors_5_1, {"der": 7.08, "eer": 5.49, "dcf": 0.4915}, {"der": 6.17, "eer": 4.88, "dcf": 0.5916}, {"der": 6.625, "eer": 5.1850000000000005, "dcf": 0.54155}
dihard2019_ivectors_5_2, {"der": 6.84, "eer": 5.344, "dcf": 0.5791}, {"der": 26.91, "eer": 40.3, "dcf": 1.0}, {"der": 16.875, "eer": 22.822, "dcf": 0.78955}
dihard2019_ivectors_10_0, {"der": 5.94, "eer": 4.39, "dcf": 0.518}, {"der": 5.88, "eer": 4.26, "dcf": 0.5734}, {"der": 5.91, "eer": 4.324999999999999, "dcf": 0.5457000000000001}
dihard2019_ivectors_10_1, {"der": 4.7, "eer": 3.503, "dcf": 0.528}, {"der": 4.93, "eer": 3.737, "dcf": 0.4394}, {"der": 4.8149999999999995, "eer": 3.62, "dcf": 0.4837}
dihard2019_ivectors_10_2, {"der": 5.1, "eer": 3.997, "dcf": 0.4805}, {"der": 5.19, "eer": 3.544, "dcf": 0.4424}, {"der": 5.145, "eer": 3.7705, "dcf": 0.46145}
dihard2019_ivectors_15_0, {"der": 5.42, "eer": 3.711, "dcf": 0.4163}, {"der": 13.71, "eer": 12.3, "dcf": 0.9891}, {"der": 9.565000000000001, "eer": 8.0055, "dcf": 0.7027}
